Gene Symbol
AAGAB
AARSD1 
AASDH
AASDHPPT
AB074162 
ABCB10
ABCC5
ABCD3
ABCE1
ABHD10
ABHD13
ABHD17B
ABHD2
ABL1
AC004951.6 
AC017002.2
ACAA2
ACAD11 
ACAD8
ACAD9
ACADM
ACADSB
ACAT1
ACBD5
ACBD6
ACER3
ACN9
ACO1
ACOT13
ACOT8
ACOT9
ACOX1
ACOX3
ACP1
ACSL3
ACSL4
ACSL5
ACSS1
ACTG1P4 
ACTL6A
ACTR10
ACTR3B
ACTR6
ADA
ADAM10
ADAM1A 
ADAMTS3
ADARB1
ADAT2
ADCY7
ADD2
ADD3
ADH5
ADK
ADO
ADSL
AEBP2
AFG3L1P
AGA
AGFG1
AGFG2
AGGF1
AGK
AGL
AGO4
AGPAT3
AGPAT5
AGPAT6
AGPS
AHCTF1
AHI1
AIFM1
AIG1
AIMP1
AJ420595 
AK021977
AK022030 
AK025288
AK2
AK3
AK4 
AK6 
AKAP11
AKIP1
AKR1C3
AKR7A2
AL832909 
AL833181
ALDH18A1
ALDH1A1
ALDH5A1
ALDH9A1
ALG10 
ALG14
ALG5
ALG6
ALG8
ALG9
ALKBH3
ALKBH6
ALMS1
ALYREF
AMIGO2
AMMECR1
AMPD3
AMT
AMZ2
ANAPC1 
ANAPC10
ANAPC13
ANAPC4
ANAPC5
ANGEL2
ANKFY1
ANKIB1
ANKLE2
ANKMY2
ANKRD10
ANKRD10-IT1
ANKRD36
ANKRD36B
ANKRD36BP2
ANKRD39
ANKRD49
ANO10
ANO6
ANP32A
ANP32E
AP2A2
AP2B1
AP3B1
AP3M1
AP3M2
AP3S1
AP4B1
AP4E1
AP4M1
AP5M1
APAF1
APC
APEH
APEX1
API5
APIP
APITD1 
APOBEC3B
APOBEC3C
APOBEC3G
APOC1
APOO
APOOL
AQR
AREL1
ARFGEF1
ARFIP1
ARHGAP10
ARHGAP11A
ARHGAP11B 
ARHGAP19
ARHGAP21
ARHGAP6
ARID1B
ARL1
ARL13B
ARL14EP
ARL15
ARL5A 
ARL6IP6
ARMC1
ARMCX5
ARPC3
ARPC5
ARV1
ASCC3
ASF1A
ASH2L
ASMTL
ASTE1
ASXL2
ATAD1
ATAD2B
ATE1
ATF7IP2
ATG10
ATG4C
ATG5
ATL3
ATM
ATP11A
ATP11C
ATP13A3
ATP1B3
ATP2B4
ATP2C1
ATP5A1
ATP5C1
ATP5F1
ATP5G1
ATP5G2
ATP5G3
ATP5J
ATP5O
ATP6
ATP6V0A2
ATP7B
ATP8B3
ATPAF1
ATPAF2
ATPIF1
ATR
ATRAID
ATRN
ATXN10
ATXN7L3B
AUNIP
AURKA
AURKAPS1 
AURKB
AVL9
