Gene Symbol
AAAS
AACS
AAED1
AAR2
AARS2
AATF
ABCA11P
ABCC10
ABCD4
ABHD12
ABHD14A 
ABHD14A-ACY1 
ABHD14B
ABL2
ABRACL
AC004941.5
ACACA
ACAP3
ACAT2
ACD
ACIN1
ACO2
ACOT1 
ACOT7
ACP6
ACTB
ACTB 
ACTN1
ACTR2
ACTR8
ACVR2A
ADCK1
ADI1
ADORA2B
ADPGK
ADRBK2
ADSS
AF090939
AGBL5
AGMAT
AGO1
AGPAT1
AGTRAP
AHCY
AIMP2
AIP
AK6
AKAP1
AKAP2 
AKR1A1
AKR1B1
AKT1
AL590762.11
ALDH16A1
ALDH1B1
ALDH3A2
ALG1
ALG11 
ALG3
ALKBH2
ALKBH8
AMD1
AMPD2
AMZ2P1
ANAPC15
ANAPC7
ANKRD16
ANKRD17
ANKRD26
ANKRD28
ANKRD33B
ANKRD40
ANKRD46
ANKRD46 
ANKRD50
ANKRD54
ANKS1A
ANXA11
ANXA2
ANXA2 
ANXA2P2
ANXA4
AP1AR
AP1G2
AP1M1
AP1S2
AP4S1
AP5S1
APBB1IP
APH1A
APH1B
APMAP
APOA1BP
APOLD1 
APRT
APTX
ARF3
ARHGAP1
ARHGAP15 
ARHGAP22
ARHGDIB
ARHGEF18
ARHGEF6
ARID4B 
ARL2
ARL3
ARL6IP4
ARMC10
ARMC2-AS1 
ARMCX6
ARNTL2
ARPC1B
ARPC2
ARRB1
ASB13
ASF1B
ASL
ASRGL1
ASUN
ATAD3A
ATAD3A 
ATAD3B
ATF7
ATG16L1
ATG7
ATIC
ATOX1
ATP13A1
ATP2A2
ATP5B
ATP5H
ATP5I
ATP5SL
ATP6V0E2
ATP6V1F 
ATP6V1G2-DDX39B 
ATRIP 
ATXN2
ATXN7L1
AUP1
AVEN
AX746823
AX747730
B3GALT6
B3GALTL
B3GNT1
B4GALT6
BANF1
BAP1
BC016361
BC070363 
BCAT1
BCAT2
BCCIP
BCDIN3D
BCL2L12
BCL2L2 
BCL7A
BCL7C
BCR
BDH1
BDH2
BEND3
BEX4
BICD1
BID
BIN2
BIN3
BIRC5
BLCAP
BOLA3-AS1
BOP1 
BPNT1
BRAT1
BRD9
BRF1
BSCL2 
BST2
BTN2A1
BTN3A1
BTN3A2
BTN3A2 
BTRC
BYSL
BZRAP1-AS1
BZW1
BZW2
C10orf2
C11orf21
C11orf24
C11orf48 
C11orf49
C11orf83
C11orf95
C12orf10
C12orf43
C12orf45
C12orf66
C12orf73
C14orf1
C14orf119
C14orf142
C14orf159
C14orf2
